보고일자,지역,위도,경도,해파리크기,밀집여부
2016-12-01,충남 보령시 웅전읍 황죽도 근해,36.207,126.499,,
2016-12-01,충남 태안군 근흥면 가의도리 옹도 근해,36.639,125.998,,
2016-12-01,충남 당진군 현대제철 근해,36.994,126.671,,
2016-12-01,충남 태안군 안면읍 나치도 근해,36.501,126.149,,
2016-12-01,충남 서산시 팔봉면 고파도 근해,36.93,126.322,,
2016-12-01,충남 당진 현대제철 근해,37.008,126.713,,
2016-12-01,"충남 당진군 대난지도, 소난지도 사이",37.043,126.444,,
2016-12-01,충남 태안군 격렬비열도 근해,36.605,125.561,10,
2016-12-01,전북 군산시 십이동파도 근해,35.988,126.25,,
2016-12-01,전북 부안 위도 근해,35.606,126.321,,
2016-12-01,전북 고창 상하면 자룡리 근해,35.445,126.416,,
2016-12-01,전북 군산 무녀도 근해,35.793,126.438,,
2016-12-01,"전북 군산 개야도, 연도 사이",36.061,126.486,,
2016-12-01,전북 부안군 위도 근해,35.617,126.241,,
2016-12-01,"전북 부안군 왕등도, 위도 사이",35.624,126.196,,
2016-12-01,전북 군산 비안도 남방근해,35.72,126.46,,
2016-12-01,전북 군산 새만금 근해,35.863,126.575,,
2016-12-01,전북 어청도 근해,36.093,125.967,,
2016-12-01,전북 말도 근해,35.867,126.302,,
2016-12-01,전남 진도군 의신면 구자도리 근해,34.316,126.291,,
2016-12-01,"전남 진도군 임회면 죽도, 독거도 사이",34.299,126.202,,
2016-12-01,전남 신안군 대흑산도 근해,34.616,125.35,,
2016-12-01,전남 진도 근해,34.475,126.401,,
2016-12-01,전남 고흥 거금도 근해,34.435,127.247,,
2016-12-01,전남 완도군 약산면 신지면 사이,34.369,126.82,10,
2016-12-01,전남 완도군 약산면 근해,34.354,126.938,,
2016-12-01,전남 고흥 득량만 연안,34.724,127.255,,
2016-12-01,경남 남해군 삼동면 물건항내,34.774,128.061,,
2016-12-01,경남 남해 앵강만,34.768,127.937,,
2016-12-01,경남 사랑도 근해,34.799,128.186,15,
2016-12-01,경남 고성 연안,34.859,128.3,15,
2016-12-01,경남 통영시 사량도 근해,34.787,128.171,,
